TopicID,TopicName,KnowledgeDomain,PointID,PointTitle,PointType,ExamUse,Importance,Difficulty,SourceFile,SourceLocator,ShouldCard,Reason,RelatedQuestionIDs,NeedsReview
T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,T-PM-002-KP-006,关键管理动作 → 过程组归属的综合判断卡。,概念,上午选择,B,3,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,line 351,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,T-PM-002-KP-007,过程组×知识域诊断框架卡（可作为案例题答题起点）。,案例模板,下午案例,B,3,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,line 376,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,T-PM-002-KP-008,创建 WBS 属于哪个过程组；过程组 vs 阶段；PDCA 中 Check/Act 与监控纠偏。,辨析,上午选择,B,3,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,line 421,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,T-FEA-001-KP-001,可行性研究四方面卡。,概念,上午选择,A,3,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,line 91,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,T-FEA-001-KP-002,三级可研的精度递进卡。,概念,上午选择,A,3,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,line 106,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,T-FEA-001-KP-003,论证 vs 评估的先后和主体辨析卡。,辨析,上午选择,A,3,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,line 121,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,T-FEA-001-KP-004,项目建议书的作用卡。,概念,上午选择,B,3,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,line 136,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,T-FEA-001-KP-005,可研五类内容；项目论证 vs 项目评估；重大调整为什么可能需要重新报批。,辨析,上午选择,B,3,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,line 181,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,整体管理,T-CLOSE-001-KP-001,合同收尾 → 管理收尾 的顺序卡。,概念,上午选择,A,3,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,line 61,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,整体管理,T-CLOSE-001-KP-002,多个合同的收尾策略卡。,概念,上午选择,A,3,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,line 76,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,整体管理,T-CLOSE-001-KP-003,收尾 ≠ Act 陷阱卡。,概念,上午选择,A,3,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,line 92,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,整体管理,T-CLOSE-001-KP-004,经验教训总结的时机判断卡。,概念,上午选择,B,3,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,line 107,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,整体管理,T-CLOSE-001-KP-005,管理收尾 vs 合同收尾；验收通过后还要做什么；经验教训为什么是组织过程资产。,辨析,上午选择,B,3,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,line 152,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INT-002,项目章程、SOW、项目管理计划与基准体系,整体管理,T-INT-002-KP-001,章程 vs 计划的内容区分卡。,辨析,上午选择,A,3,topic_learning_packages/topics/04_整体管理/T-INT-002_专题学习包_项目章程SOW项目管理计划与基准关系.md,line 91,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INT-002,项目章程、SOW、项目管理计划与基准体系,整体管理,T-INT-002-KP-002,章程发布者卡。,概念,上午选择,A,3,topic_learning_packages/topics/04_整体管理/T-INT-002_专题学习包_项目章程SOW项目管理计划与基准关系.md,line 106,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INT-002,项目章程、SOW、项目管理计划与基准体系,整体管理,T-INT-002-KP-003,基准变更必须走变更控制的规则卡。,概念,上午选择,A,3,topic_learning_packages/topics/04_整体管理/T-INT-002_专题学习包_项目章程SOW项目管理计划与基准关系.md,line 121,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INT-002,项目章程、SOW、项目管理计划与基准体系,整体管理,T-INT-002-KP-004,SOW 来源判断卡。,概念,上午选择,B,3,topic_learning_packages/topics/04_整体管理/T-INT-002_专题学习包_项目章程SOW项目管理计划与基准关系.md,line 136,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INT-002,项目章程、SOW、项目管理计划与基准体系,整体管理,T-INT-002-KP-005,项目章程由谁发布；章程 vs 项目管理计划；基准从哪里来。,辨析,上午选择,B,3,topic_learning_packages/topics/04_整体管理/T-INT-002_专题学习包_项目章程SOW项目管理计划与基准关系.md,line 181,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INT-004,整体变更控制与 CCB,整体管理,T-INT-004-KP-001,CCB 审批范围判断卡。,概念,上午选择,A,3,topic_learning_packages/topics/04_整体管理/T-INT-004_专题学习包_整体变更控制与CCB.md,line 110,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INT-004,整体变更控制与 CCB,整体管理,T-INT-004-KP-002,四种变更请求类型辨析卡（含题干关键词）。,辨析,上午选择,A,3,topic_learning_packages/topics/04_整体管理/T-INT-004_专题学习包_整体变更控制与CCB.md,line 127,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INT-004,整体变更控制与 CCB,整体管理,T-INT-004-KP-003,变更批准后更新清单（计划、基准、配置记录、组织过程资产）。,概念,上午选择,A,3,topic_learning_packages/topics/04_整体管理/T-INT-004_专题学习包_整体变更控制与CCB.md,line 144,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INT-004,整体变更控制与 CCB,整体管理,T-INT-004-KP-004,CCB 角色边界辨析卡。,辨析,上午选择,B,3,topic_learning_packages/topics/04_整体管理/T-INT-004_专题学习包_整体变更控制与CCB.md,line 161,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INT-004,整体变更控制与 CCB,整体管理,T-INT-004-KP-005,变更控制案例模板卡。,案例模板,下午案例,B,3,topic_learning_packages/topics/04_整体管理/T-INT-004_专题学习包_整体变更控制与CCB.md,line 175,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-INT-004,整体变更控制与 CCB,整体管理,T-INT-004-KP-006,变更控制第一步；CCB 的职责；批准后要更新哪些文件。,概念,上午选择,B,3,topic_learning_packages/topics/04_整体管理/T-INT-004_专题学习包_整体变更控制与CCB.md,line 220,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,范围管理,T-SCOPE-002-KP-001,"WBS 核心特征卡。""可交付成果导向""vs""活动导向""辨析卡。",辨析,上午选择,A,3,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,line 125,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,范围管理,T-SCOPE-002-KP-002,范围基准三组件卡。三大基准（范围/进度/成本）对应内容卡。,概念,上午选择,A,3,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,line 142,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,范围管理,T-SCOPE-002-KP-003,WBS 分解灵活性理解卡。,概念,上午选择,A,3,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,line 161,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,范围管理,T-SCOPE-002-KP-004,WBS 词典 vs WBS vs 范围说明书的内容区分卡。,辨析,上午选择,B,3,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,line 178,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,范围管理,T-SCOPE-002-KP-005,100% 规则卡。WBS 与范围蔓延关系卡。,概念,上午选择,B,3,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,line 195,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,范围管理,T-SCOPE-002-KP-006,WBS 案例错误模式卡。,案例模板,下午案例,B,3,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,line 207,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCOPE-002,WBS、工作包、WBS 字典与范围基准,范围管理,T-SCOPE-002-KP-007,工作包定义；WBS vs 活动清单；范围基准三件套。,辨析,上午选择,B,3,topic_learning_packages/topics/05_范围管理/T-SCOPE-002_专题学习包_WBS工作包WBS字典与范围基准.md,line 252,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-002,活动排序、依赖关系、PDM/AOA 与提前滞后量,进度管理,T-SCH-002-KP-001,四种依赖关系的动作对卡（正面A的动作和B的动作，背面关系类型）。,概念,上午选择,A,3,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md,line 98,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-002,活动排序、依赖关系、PDM/AOA 与提前滞后量,进度管理,T-SCH-002-KP-002,PDM vs ADM 的特征识别卡。,辨析,上午选择,A,3,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md,line 113,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-002,活动排序、依赖关系、PDM/AOA 与提前滞后量,进度管理,T-SCH-002-KP-003,虚活动定义与作用卡。,概念,上午选择,A,3,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md,line 128,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-002,活动排序、依赖关系、PDM/AOA 与提前滞后量,进度管理,T-SCH-002-KP-004,四种依赖类别判断卡（强制/选择 × 外部/内部）。,概念,上午选择,B,3,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md,line 143,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-002,活动排序、依赖关系、PDM/AOA 与提前滞后量,进度管理,T-SCH-002-KP-005,提前量/滞后量的计算示例卡。,公式/计算,计算题,B,3,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md,line 162,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-002,活动排序、依赖关系、PDM/AOA 与提前滞后量,进度管理,T-SCH-002-KP-006,快速跟进 → 调整选择性依赖的判断卡。,概念,上午选择,B,3,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md,line 177,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-002,活动排序、依赖关系、PDM/AOA 与提前滞后量,进度管理,T-SCH-002-KP-007,强制依赖 vs 选择性依赖；PDM 节点表示活动；提前量和滞后量的题干信号。,辨析,上午选择,B,3,topic_learning_packages/topics/06_进度管理/T-SCH-002_专题学习包_活动排序依赖关系PDM_AOA与提前滞后量.md,line 222,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-003,关键路径、总时差、自由时差与网络图判断,进度管理,T-SCH-003-KP-001,关键路径定义卡 + 识别方法卡。,概念,上午选择,A,3,topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,line 178,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-003,关键路径、总时差、自由时差与网络图判断,进度管理,T-SCH-003-KP-002,总时差双公式卡。,公式/计算,计算题,A,3,topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,line 195,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-003,关键路径、总时差、自由时差与网络图判断,进度管理,T-SCH-003-KP-003,"自由时差公式卡 + ""取紧后 ES 最小值""的关键操作卡。",公式/计算,计算题,A,3,topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,line 212,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-003,关键路径、总时差、自由时差与网络图判断,进度管理,T-SCH-003-KP-004,时差消耗与关键路径变化的判断卡。,概念,上午选择,B,3,topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,line 229,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-003,关键路径、总时差、自由时差与网络图判断,进度管理,T-SCH-003-KP-005,虚活动定义与作用卡。,概念,上午选择,B,3,topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,line 248,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-003,关键路径、总时差、自由时差与网络图判断,进度管理,T-SCH-003-KP-006,关键活动特性辨析卡。,辨析,上午选择,B,3,topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,line 267,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-003,关键路径、总时差、自由时差与网络图判断,进度管理,T-SCH-003-KP-007,正推逆推完整流程卡。,流程,上午选择,B,3,topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,line 291,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-SCH-003,关键路径、总时差、自由时差与网络图判断,进度管理,T-SCH-003-KP-008,总时差的意义；关键路径为什么会变化；非关键活动延误何时影响总工期。,概念,上午选择,B,3,topic_learning_packages/topics/06_进度管理/T-SCH-003_专题学习包_关键路径总时差自由时差与网络图判断.md,line 336,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-001,成本估算、成本预算、储备分析与成本基准,成本管理,T-COST-001-KP-001,估算方法选择判断卡（场景→方法）。,概念,上午选择,A,3,topic_learning_packages/topics/07_成本管理/T-COST-001_专题学习包_成本估算预算储备分析与成本基准.md,line 78,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-001,成本估算、成本预算、储备分析与成本基准,成本管理,T-COST-001-KP-002,应急储备 vs 管理储备判断卡（含关键词）。,辨析,上午选择,A,3,topic_learning_packages/topics/07_成本管理/T-COST-001_专题学习包_成本估算预算储备分析与成本基准.md,line 93,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-001,成本估算、成本预算、储备分析与成本基准,成本管理,T-COST-001-KP-003,成本基准组成卡。,概念,上午选择,A,3,topic_learning_packages/topics/07_成本管理/T-COST-001_专题学习包_成本估算预算储备分析与成本基准.md,line 108,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-001,成本估算、成本预算、储备分析与成本基准,成本管理,T-COST-001-KP-004,成本失控常见原因记忆卡。,概念,上午选择,B,3,topic_learning_packages/topics/07_成本管理/T-COST-001_专题学习包_成本估算预算储备分析与成本基准.md,line 123,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-001,成本估算、成本预算、储备分析与成本基准,成本管理,T-COST-001-KP-005,成本估算案例模板卡。,案例模板,下午案例,B,3,topic_learning_packages/topics/07_成本管理/T-COST-001_专题学习包_成本估算预算储备分析与成本基准.md,line 135,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-001,成本估算、成本预算、储备分析与成本基准,成本管理,T-COST-001-KP-006,自下而上估算步骤；应急储备 vs 管理储备；BAC 通常不含管理储备。,辨析,上午选择,B,3,topic_learning_packages/topics/07_成本管理/T-COST-001_专题学习包_成本估算预算储备分析与成本基准.md,line 180,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-002,挣值管理与成本绩效分析,成本管理,T-COST-002-KP-001,SV 和 CV 的公式卡、符号含义卡。,公式/计算,计算题,A,3,topic_learning_packages/topics/07_成本管理/T-COST-002_专题学习包_挣值管理与成本绩效分析.md,line 266,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-002,挣值管理与成本绩效分析,成本管理,T-COST-002-KP-002,SPI/CPI 阈值判断卡。,概念,上午选择,A,3,topic_learning_packages/topics/07_成本管理/T-COST-002_专题学习包_挣值管理与成本绩效分析.md,line 283,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-002,挣值管理与成本绩效分析,成本管理,T-COST-002-KP-003,EAC 公式选择判断卡（含题干关键词→公式的映射）。,公式/计算,计算题,A,3,topic_learning_packages/topics/07_成本管理/T-COST-002_专题学习包_挣值管理与成本绩效分析.md,line 302,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-002,挣值管理与成本绩效分析,成本管理,T-COST-002-KP-004,CPI 与 EAC 关系的直觉判断卡。,概念,上午选择,B,3,topic_learning_packages/topics/07_成本管理/T-COST-002_专题学习包_挣值管理与成本绩效分析.md,line 319,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-002,挣值管理与成本绩效分析,成本管理,T-COST-002-KP-005,TCPI 公式卡 + TCPI 与 CPI 比较的意义卡。,公式/计算,计算题,B,3,topic_learning_packages/topics/07_成本管理/T-COST-002_专题学习包_挣值管理与成本绩效分析.md,line 338,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-002,挣值管理与成本绩效分析,成本管理,T-COST-002-KP-006,挣值综合判断的快速分析流程卡。,流程,上午选择,B,3,topic_learning_packages/topics/07_成本管理/T-COST-002_专题学习包_挣值管理与成本绩效分析.md,line 357,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-002,挣值管理与成本绩效分析,成本管理,T-COST-002-KP-007,挣值案例答题模板卡计算→判断→预测→诊断→建议。,公式/计算,计算题,B,3,topic_learning_packages/topics/07_成本管理/T-COST-002_专题学习包_挣值管理与成本绩效分析.md,line 379,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-COST-002,挣值管理与成本绩效分析,成本管理,T-COST-002-KP-008,EV 不是实际成本；CV/SV/CPI/SPI 公式；缺少 EV 为什么不能判断。,公式/计算,计算题,B,3,topic_learning_packages/topics/07_成本管理/T-COST-002_专题学习包_挣值管理与成本绩效分析.md,line 424,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-QUAL-001,质量保证、质量控制与质量审计,质量管理,T-QUAL-001-KP-001,质量 vs 等级辨析卡。,辨析,上午选择,A,3,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md,line 108,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-QUAL-001,质量保证、质量控制与质量审计,质量管理,T-QUAL-001-KP-002,QA vs QC 场景判断卡（含关键词判断表）。,辨析,上午选择,A,3,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md,line 125,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-QUAL-001,质量保证、质量控制与质量审计,质量管理,T-QUAL-001-KP-003,质量成本四分类辨析卡。,辨析,上午选择,A,3,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md,line 146,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-QUAL-001,质量保证、质量控制与质量审计,质量管理,T-QUAL-001-KP-004,QA-QC 协同工作流卡。,概念,上午选择,B,3,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md,line 163,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-QUAL-001,质量保证、质量控制与质量审计,质量管理,T-QUAL-001-KP-005,质量案例共性诊断模板卡。,案例模板,下午案例,B,3,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md,line 177,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
T-QUAL-001,质量保证、质量控制与质量审计,质量管理,T-QUAL-001-KP-006,QA vs QC；质量审计属于什么；需求评审为什么是前置质量控制。,辨析,上午选择,B,3,topic_learning_packages/topics/08_质量管理/T-QUAL-001_专题学习包_质量保证质量控制与质量审计.md,line 222,yes,来自专题学习包明确制卡提示，经脚本转入候选考点；正式卡片另行重写,,no
