KnowledgePointID,TopicID,TopicName,Domain,SourceIDs,SourceFiles,HeadingPath,KnowledgePoint,WhyExamRelevant,CardTypes,ExamUse,Importance,Difficulty,NeedsVerification,RelatedTopicIDs,RelatedQuestionIDs,RejectRisk
KP-0011,T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,SRC-T-PM-002-0002,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,五大过程组、十大知识域与 PDCA > 先看这个专题的主线,"先看这个专题的主线 很多同学第一步就是背""五大过程组、十大知识域、47 个过程""，但背完仍然不知道怎么用。因为过程组和知识域不是""目录""——它们是项目经理的""工作组织框架""。",可用于定义识别、场景判断、流程边界或案例答题。,公式卡;案例模板卡;计算卡,计算题,A,3,False,,,
KP-0012,T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,SRC-T-PM-002-0003,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,五大过程组、十大知识域与 PDCA > 为什么不能只按知识域学习？,为什么不能只按知识域学习？ 很多同学按知识域一个一个学——范围管理学完学进度、进度学完学成本——这样学完一门忘一门，而且无法理解过程之间的联系。,可用于定义识别、场景判断、流程边界或案例答题。,概念卡,上午选择,A,3,False,,,
KP-0013,T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,SRC-T-PM-002-0004,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,"五大过程组、十大知识域与 PDCA > 五大过程组：管理的""时间维度""","五大过程组：管理的""时间维度"" [概念组｜五大过程组] 1. 启动过程组：定义一个新项目或现有项目的一个新阶段，授权开始该项目或阶段。核心输出：项目章程（批准项目存在、任命项目经理、授权动用资源）、识别干系人（形成干系人登记册）。",可用于定义识别、场景判断、流程边界或案例答题。,流程卡;辨析卡,上午选择,A,3,False,,,
KP-0014,T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,SRC-T-PM-002-0005,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,"五大过程组、十大知识域与 PDCA > 十大知识域：管理的""内容维度""","十大知识域：管理的""内容维度"" 系统集成项目管理工程师的十大知识域及核心管理问题： 知识域 核心管理问题 关键词 --------- 整体管理 如何把所有要素整合为协调一致的整体 章程、计划、执行、监控、变更、收尾 范围管理 项目要做什么、不做什么 WBS、范围说明书、需求、确认、蔓延 进度管理 项目什么时候完成 活动、网络图、关键路径、PERT、压缩 成本",可用于定义识别、场景判断、流程边界或案例答题。,公式卡;关键词识别卡;计算卡,计算题,A,3,True,,,verification
KP-0015,T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,SRC-T-PM-002-0006,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,五大过程组、十大知识域与 PDCA > PDCA 循环与过程组的关系,PDCA 循环与过程组的关系 [概念｜PDCA] PDCA 循环（Plan-Do-Check-Act）是由休哈特提出、戴明推广的持续改进循环。在项目管理中： - Plan（计划） → 对应规划过程组：确定目标、制定方案 - Do（执行） → 对应执行过程组：按计划开展工作 - Check（检查） → 对应监控过程组：测量绩效、发现偏差 - Act（处理/行动,可用于定义识别、场景判断、流程边界或案例答题。,公式卡;案例模板卡;流程卡;计算卡,计算题,A,3,False,,,
KP-0016,T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,SRC-T-PM-002-0007,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,五大过程组、十大知识域与 PDCA > 过程组 × 知识域矩阵：考试定位系统,过程组 × 知识域矩阵：考试定位系统 以下矩阵帮助你快速判断每个管理过程属于哪个过程组和知识域。记住关键过程的位置，是做选择题和案例题时的基础导航能力。,可用于定义识别、场景判断、流程边界或案例答题。,案例模板卡;辨析卡,下午案例,A,3,False,,,
KP-0017,T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,SRC-T-PM-002-0008,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,五大过程组、十大知识域与 PDCA > 案例题中如何利用过程组/知识域框架定位问题,"案例题中如何利用过程组/知识域框架定位问题 这个框架在下午案例题中是最核心的""定位系统""。当你读到一个案例场景时，可以用以下流程快速归类： 这个流程的价值在于：你不会拿到案例题后脑子一片空白。",可用于定义识别、场景判断、流程边界或案例答题。,关键词识别卡;案例模板卡;流程卡,下午案例,A,3,False,,,
KP-0018,T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,SRC-T-PM-002-0009,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,五大过程组、十大知识域与 PDCA > 典型题详解与举一反三,典型题详解与举一反三 例题 1｜过程组 vs 阶段（高频） 以下关于项目过程组和项目阶段的说法，哪项是正确的？ A. 五大过程组就是项目的五个阶段 B. 每个项目阶段内可以包含全部五个过程组 C. 过程组必须按顺序严格执行，不能重叠 D. 启动过程组只在项目开始时执行一次 正确答案是 B。,可用于定义识别、场景判断、流程边界或案例答题。,公式卡;关键词识别卡;案例模板卡;流程卡;计算卡;辨析卡,计算题,A,3,True,,,verification
KP-0019,T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,SRC-T-PM-002-0010,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,五大过程组、十大知识域与 PDCA > 本轮真题覆盖增强：过程组归属与 PDCA 定位,本轮真题覆盖增强：过程组归属与 PDCA 定位 本节把 questions.full.clean.md 与既有真题映射中的高频考法反查回本专题。题库反复考“创建 WBS 属于规划过程组”“过程组不是项目阶段”“PDCA 与监控闭环”。,可用于定义识别、场景判断、流程边界或案例答题。,公式卡;关键词识别卡;案例模板卡;流程卡;计算卡;辨析卡,计算题,A,3,False,,,
KP-0020,T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,SRC-T-PM-002-0012,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,五大过程组、十大知识域与 PDCA > 本专题的最小掌握标准,本专题的最小掌握标准 学完本专题后，你至少应该能做到五件事。 第一，能解释过程组和阶段的本质区别——过程组是按管理活动类型分的（不是按时间），每个阶段内可以包含全部过程组。,可用于定义识别、场景判断、流程边界或案例答题。,公式卡;案例模板卡;计算卡;辨析卡,计算题,A,3,True,,,verification
KP-0021,T-PM-002,五大过程组、十大知识域与 PDCA,项目管理基础,SRC-T-PM-002-0013,topic_learning_packages/topics/02_项目管理基础/T-PM-002_专题学习包_五大过程组十大知识域与PDCA.md,五大过程组、十大知识域与 PDCA > 待核验与后续改进,"待核验与后续改进 - 软考教程第二版中过程的数量和名称可能与 PMBOK 第五版/第六版存在差异，本专题的关键归属判断以系统集成项目管理工程师教程为准。[待核验] - ""确认范围""在考试中的过程组归属是否被所有真题一致归类为监控过程组，建议用 1-2 道真题验证。",可用于定义识别、场景判断、流程边界或案例答题。,概念卡,上午选择,A,3,True,,,verification
KP-0022,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,SRC-T-FEA-001-0001,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,立项管理：项目建议书、可行性研究与项目论证,"T-FEA-001｜立项管理：项目建议书、可行性研究与项目论证 本专题用于学习""项目立项管理""的核心内容：项目建议书、可行性研究（内容与七步法）、机会研究与初步/详细可研、项目论证与项目评估、投资估算与经济评价基础。它们围绕一个核心问题展开：在项目正式启动之前，如何证明这个项目值得做、必须做、可以做？",可用于定义识别、场景判断、流程边界或案例答题。,概念卡,上午选择,B,3,False,,,
KP-0023,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,SRC-T-FEA-001-0002,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,立项管理：项目建议书、可行性研究与项目论证 > 先看这个专题的主线,先看这个专题的主线 立项管理是整个项目管理知识体系的前置环节——发生在项目章程之前。很多同学跳过它直接学十大知识域，但选择题和案例题中立项管理是独立考点。,可用于定义识别、场景判断、流程边界或案例答题。,案例模板卡,下午案例,B,3,False,,,
KP-0024,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,SRC-T-FEA-001-0003,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,立项管理：项目建议书、可行性研究与项目论证 > 项目建议书,"项目建议书 [定义｜项目建议书] 项目建议书是项目发起人向主管部门报送的，请求批准项目立项的书面文件。它是立项的第一步，内容相对粗略，主要回答""为什么要做这个项目""和""大致要做什么""。",可用于定义识别、场景判断、流程边界或案例答题。,概念卡,上午选择,B,3,False,,,
KP-0025,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,SRC-T-FEA-001-0004,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,立项管理：项目建议书、可行性研究与项目论证 > 可行性研究：内容与步骤,可行性研究：内容与步骤 [概念组｜可行性研究] 可行性研究是对拟建项目在技术、经济、社会、环境等方面的可行性和合理性进行全面分析论证的过程。 可行性研究的四个主要方面（常考）： 1. 技术可行性：技术方案是否成熟可用？,可用于定义识别、场景判断、流程边界或案例答题。,流程卡,上午选择,B,3,True,,,verification
KP-0026,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,SRC-T-FEA-001-0005,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,立项管理：项目建议书、可行性研究与项目论证 > 机会研究、初步可研与详细可研,"机会研究、初步可研与详细可研 [辨析｜三级可研] - 机会研究：最粗略的可行性判断。主要回答""有没有机会？",可用于定义识别、场景判断、流程边界或案例答题。,辨析卡,上午选择,B,3,False,,,
KP-0027,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,SRC-T-FEA-001-0006,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,立项管理：项目建议书、可行性研究与项目论证 > 项目论证与项目评估,项目论证与项目评估 [辨析｜项目论证 vs 项目评估] 项目论证：项目团队/组织内部对项目的必要性、可行性、合理性进行分析论证。主体是项目方自己。,可用于定义识别、场景判断、流程边界或案例答题。,流程卡;辨析卡,上午选择,B,3,False,,,
KP-0028,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,SRC-T-FEA-001-0007,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,立项管理：项目建议书、可行性研究与项目论证 > 投资估算与经济评价基础,投资估算与经济评价基础 投资估算方法与成本估算方法相通（类比/参数/自下而上）。经济评价主要关注：投资回收期、净现值（NPV）、内部收益率（IRR）等指标。,可用于定义识别、场景判断、流程边界或案例答题。,公式卡;计算卡,计算题,B,3,False,,,
KP-0029,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,SRC-T-FEA-001-0008,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,立项管理：项目建议书、可行性研究与项目论证 > 典型题详解与举一反三,典型题详解与举一反三 例题 1｜可行性研究内容 可行性研究通常不包括以下哪方面？ A. 技术可行性 B. 经济可行性 C. 社会可行性 D. 美学可行性 正确答案是 D。,可用于定义识别、场景判断、流程边界或案例答题。,辨析卡,上午选择,B,3,False,,,
KP-0030,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,SRC-T-FEA-001-0009,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,立项管理：项目建议书、可行性研究与项目论证 > 本轮真题覆盖增强：立项材料与可研深度,本轮真题覆盖增强：立项材料与可研深度 本节把 questions.full.clean.md 与既有真题映射中的高频考法反查回本专题。上午题常考项目建议书、可行性研究、项目论证/评估的先后关系；案例题常用“未充分可研”解释后续失控。,可用于定义识别、场景判断、流程边界或案例答题。,关键词识别卡;案例模板卡;流程卡;辨析卡,下午案例,B,3,False,,,
KP-0031,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,SRC-T-FEA-001-0011,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,立项管理：项目建议书、可行性研究与项目论证 > 本专题的最小掌握标准,本专题的最小掌握标准 至少能做到：① 说出可行性研究的四个方面；② 区分三级可研的精度递进关系；③ 区分项目论证（内部）和项目评估（外部/第三方）；④ 知道立项管理的完整流程顺序。 ---,可用于定义识别、场景判断、流程边界或案例答题。,流程卡,上午选择,B,3,True,,,verification
KP-0032,T-FEA-001,立项管理：项目建议书、可行性研究与项目论证,立项管理,SRC-T-FEA-001-0012,topic_learning_packages/topics/03_立项管理/T-FEA-001_专题学习包_立项管理项目建议书可行性研究与项目论证.md,立项管理：项目建议书、可行性研究与项目论证 > 待核验与后续改进,待核验与后续改进 - 软考教程中立项管理的具体流程节点（特别是审批权限）需与教材核对。[待核验] - 投资估算的误差容差范围可能因教材版本有差异。,可用于定义识别、场景判断、流程边界或案例答题。,流程卡,上午选择,B,3,True,,,verification
KP-0033,T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,整体管理,SRC-T-CLOSE-001-0001,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,项目收尾：管理收尾、合同收尾与验收,"T-CLOSE-001｜项目收尾：管理收尾、合同收尾与验收 本专题用于学习""项目收尾管理""中最容易出辨析题和流程题的核心内容：管理收尾（行政收尾）与合同收尾的区别、验收与移交、经验教训总结、项目档案归档、资源释放、收尾过程的输入输出。它们不是""项目做完了签个字""这么简单，而是围绕一个核心问题展开：如何确保项目的结束不是""人去楼空""，而是有序、完整、可追溯的正",可用于定义识别、场景判断、流程边界或案例答题。,流程卡;辨析卡,上午选择,B,3,False,,,
KP-0034,T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,整体管理,SRC-T-CLOSE-001-0002,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,项目收尾：管理收尾、合同收尾与验收 > 先看这个专题的主线,"先看这个专题的主线 收尾管理最容易被轻视——选择题总觉得""收尾没什么可考的""，案例题也经常漏掉收尾环节。但实际上收尾有一组固定的辨析考点：管理收尾 vs 合同收尾、收尾 vs PDCA 的 Act、验收 vs 确认范围。",可用于定义识别、场景判断、流程边界或案例答题。,公式卡;案例模板卡;计算卡;辨析卡,计算题,B,3,False,,,
KP-0035,T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,整体管理,SRC-T-CLOSE-001-0003,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,项目收尾：管理收尾、合同收尾与验收 > 管理收尾 vs 合同收尾,管理收尾 vs 合同收尾 [高频辨析｜管理收尾 vs 合同收尾] 管理收尾（行政收尾）：项目或阶段结束时的全面收尾活动。包括：获得最终验收、移交成果、总结经验教训、归档文件、释放资源。,可用于定义识别、场景判断、流程边界或案例答题。,流程卡;辨析卡,上午选择,B,3,False,,,
KP-0036,T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,整体管理,SRC-T-CLOSE-001-0004,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,项目收尾：管理收尾、合同收尾与验收 > 验收与确认范围的关系,验收与确认范围的关系 [辨析｜验收 vs 确认范围] 确认范围（监控过程组）：过程中对已完成可交付成果的阶段性验收。发生在项目执行过程中，每个可交付成果完成后都可以做一次确认范围。,可用于定义识别、场景判断、流程边界或案例答题。,辨析卡,上午选择,B,3,False,,,
KP-0037,T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,整体管理,SRC-T-CLOSE-001-0005,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,项目收尾：管理收尾、合同收尾与验收 > 典型题详解与举一反三,典型题详解与举一反三 例题 1｜收尾顺序 项目进入收尾阶段，以下哪个顺序是正确的？ A. 管理收尾 → 合同收尾 B. 合同收尾 → 管理收尾 C. 两者同时进行 D. 不分先后 正确答案是 B。,可用于定义识别、场景判断、流程边界或案例答题。,公式卡;流程卡;计算卡;辨析卡,计算题,B,3,False,,,
KP-0038,T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,整体管理,SRC-T-CLOSE-001-0006,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,项目收尾：管理收尾、合同收尾与验收 > 本轮真题覆盖增强：验收、合同收尾与管理收尾,本轮真题覆盖增强：验收、合同收尾与管理收尾 本节把 questions.full.clean.md 与既有真题映射中的高频考法反查回本专题。2019 下午合同案例和多类案例题都会追问验收、索赔、归档、经验教训，收尾不是“项目做完就散”。,可用于定义识别、场景判断、流程边界或案例答题。,关键词识别卡;案例模板卡;流程卡;辨析卡,下午案例,B,3,False,,,
KP-0039,T-CLOSE-001,项目收尾：管理收尾、合同收尾与验收,整体管理,SRC-T-CLOSE-001-0008,topic_learning_packages/topics/04_整体管理/T-CLOSE-001_专题学习包_项目收尾管理收尾合同收尾与验收.md,项目收尾：管理收尾、合同收尾与验收 > 本专题的最小掌握标准,本专题的最小掌握标准 至少能做到：① 区分管理收尾和合同收尾；② 知道合同收尾在管理收尾之前；③ 区分最终验收和确认范围；④ 知道收尾 ≠ PDCA 的 Act。 ---,可用于定义识别、场景判断、流程边界或案例答题。,公式卡;计算卡,计算题,B,3,True,,,verification
KP-0040,T-INT-002,项目章程、SOW、项目管理计划与基准体系,整体管理,SRC-T-INT-002-0001,topic_learning_packages/topics/04_整体管理/T-INT-002_专题学习包_项目章程SOW项目管理计划与基准关系.md,项目章程、SOW、项目管理计划与基准体系,"T-INT-002｜项目章程、SOW、项目管理计划与基准体系 本专题用于学习""项目整体管理""中定义项目起点和管理框架的一组核心内容：项目章程（内容、作用、发布者）、工作说明书 SOW、项目管理计划（总计划与子计划体系）、三大基准（范围/进度/成本基准）、章程与计划的关系与区别。它们不是独立文档，而是围绕一个核心问题展开：一个项目从""被批准存在""到""有可执行的",可用于定义识别、场景判断、流程边界或案例答题。,辨析卡,上午选择,A,3,False,,,
KP-0041,T-INT-002,项目章程、SOW、项目管理计划与基准体系,整体管理,SRC-T-INT-002-0002,topic_learning_packages/topics/04_整体管理/T-INT-002_专题学习包_项目章程SOW项目管理计划与基准关系.md,项目章程、SOW、项目管理计划与基准体系 > 先看这个专题的主线,"先看这个专题的主线 项目章程和项目管理计划是软考选择题中最高频的""调换陷阱""——题目把章程的内容说成计划的，把计划的特征说成章程的。要破解这类题，关键是抓住两个文档的不同本质。",可用于定义识别、场景判断、流程边界或案例答题。,概念卡,上午选择,A,3,False,,,
KP-0042,T-INT-002,项目章程、SOW、项目管理计划与基准体系,整体管理,SRC-T-INT-002-0003,topic_learning_packages/topics/04_整体管理/T-INT-002_专题学习包_项目章程SOW项目管理计划与基准关系.md,"项目章程、SOW、项目管理计划与基准体系 > 项目章程：项目的""出生证""","项目章程：项目的""出生证"" [定义｜项目章程] 项目章程是正式批准项目存在、授权项目经理动用组织资源开展项目活动的文件。由发起人（或项目以外的管理层）发布，是项目的起点。",可用于定义识别、场景判断、流程边界或案例答题。,概念卡,上午选择,A,3,False,,,
KP-0043,T-INT-002,项目章程、SOW、项目管理计划与基准体系,整体管理,SRC-T-INT-002-0004,topic_learning_packages/topics/04_整体管理/T-INT-002_专题学习包_项目章程SOW项目管理计划与基准关系.md,项目章程、SOW、项目管理计划与基准体系 > 工作说明书 SOW,工作说明书 SOW [定义｜SOW] 工作说明书（Statement of Work）是对项目需交付的产品或服务的叙述性说明。它可以来自发起人、客户或其他干系人。,可用于定义识别、场景判断、流程边界或案例答题。,概念卡,上午选择,A,3,False,,,
KP-0044,T-INT-002,项目章程、SOW、项目管理计划与基准体系,整体管理,SRC-T-INT-002-0005,topic_learning_packages/topics/04_整体管理/T-INT-002_专题学习包_项目章程SOW项目管理计划与基准关系.md,"项目章程、SOW、项目管理计划与基准体系 > 项目管理计划：项目的""操作手册""","项目管理计划：项目的""操作手册"" [定义｜项目管理计划] 项目管理计划是说明项目将如何执行、监督和控制的文件。它整合了所有子管理计划和基准，由项目经理领导制定，是项目工作的总指南。",可用于定义识别、场景判断、流程边界或案例答题。,流程卡;辨析卡,上午选择,A,3,False,,,
KP-0045,T-INT-002,项目章程、SOW、项目管理计划与基准体系,整体管理,SRC-T-INT-002-0006,topic_learning_packages/topics/04_整体管理/T-INT-002_专题学习包_项目章程SOW项目管理计划与基准关系.md,项目章程、SOW、项目管理计划与基准体系 > 三大基准,"三大基准 [概念组｜项目管理三大基准] 1. 范围基准：范围说明书 + WBS + WBS 词典。回答""项目要交付什么""。",可用于定义识别、场景判断、流程边界或案例答题。,流程卡,上午选择,A,3,False,,,
